heart_rate,calories_burned,sleep_hours,steps_walked,stress_level,posture_score,joint_flexibility,repetition_count,motion_type,shift_hours,night_shift,overtime_hours,risk_class
96,1909,3.9,7984,8,53,63,477,sitting,6,0,2,1
78,2146,6.1,18800,4,98,165,4,bending,12,1,5,1
66,2050,5.1,4507,8,39,99,144,kneeling,7,1,1,1
103,2581,6.5,9228,0,31,138,424,sitting,6,0,2,0
109,2035,7.3,9583,2,76,171,361,climbing,10,0,0,0
64,2110,6.8,13098,9,90,67,220,walking,6,1,2,0
117,1663,8.9,7883,10,51,56,181,kneeling,12,1,4,2
107,2133,9.1,8757,2,42,135,12,walking,11,1,3,1
111,2516,5.1,4542,6,24,150,113,walking,12,1,2,1
79,2432,4.8,7328,6,62,101,442,lifting,12,1,2,1
101,3586,5.9,18570,5,23,59,449,sitting,7,1,0,1
66,3943,6.1,11278,6,97,160,59,climbing,10,0,2,0
62,3286,3.5,18643,10,45,123,220,lifting,11,1,4,2
80,2010,7.8,10840,8,59,134,167,climbing,11,1,4,1
68,2285,6.0,13423,10,42,175,154,climbing,10,0,2,1
78,2360,6.1,11559,7,76,143,345,walking,10,1,5,0
70,1847,5.2,11983,1,50,109,115,walking,7,0,0,0
75,3446,7.2,3386,7,73,177,99,bending,11,1,3,1
85,2499,4.4,1181,1,74,86,90,bending,10,1,0,1
95,2520,9.0,4976,7,37,148,341,kneeling,10,1,3,1
99,3567,6.1,18952,7,40,151,230,sitting,12,0,5,1
77,3635,6.4,8839,4,76,49,365,sitting,7,1,2,0
80,3712,4.0,5942,3,69,69,361,walking,6,1,3,1
81,3722,6.3,3040,3,73,129,463,kneeling,11,0,4,0
84,3453,3.5,12526,4,69,137,275,bending,11,0,3,1
74,2617,6.1,1951,6,63,133,370,walking,12,1,1,0
99,3687,3.7,13911,9,92,36,42,bending,9,0,3,2
71,1705,5.1,11726,3,78,113,172,climbing,8,1,2,1
113,1835,6.3,18675,0,64,87,332,lifting,12,0,0,1
120,2512,4.7,1667,9,39,91,64,climbing,11,0,4,2
120,2392,6.3,9396,5,41,59,398,walking,8,0,4,1
61,2777,7.0,13298,6,45,49,303,bending,12,0,0,1
104,2735,8.6,4966,9,25,118,272,climbing,11,1,0,2
92,2897,3.6,14764,7,33,140,491,sitting,11,1,5,2
69,3283,4.6,18096,10,54,167,396,climbing,9,1,5,1
97,2599,5.4,9044,1,55,145,124,climbing,10,1,2,1
61,3524,8.6,6958,7,47,120,408,sitting,8,1,4,1
104,2631,6.8,17928,3,30,91,368,climbing,9,0,5,1
90,3510,6.2,1565,1,57,86,207,bending,7,1,5,1
97,3011,6.3,18397,5,74,170,169,sitting,11,1,2,1
79,2529,4.9,7310,5,35,167,486,bending,7,0,1,1
107,3483,5.2,18191,9,56,55,426,walking,8,0,2,1
71,2738,3.6,18502,2,55,41,498,lifting,10,1,5,1
120,2017,7.3,17085,1,21,176,145,climbing,9,1,2,1
71,1710,5.0,16654,1,28,132,251,lifting,10,0,1,1
69,3805,9.2,3791,3,35,172,391,climbing,10,0,4,1
84,3345,9.0,10743,9,74,108,291,kneeling,6,0,1,0
100,2364,5.1,3660,2,50,74,282,lifting,7,0,3,1
88,3932,6.3,2069,3,56,102,359,climbing,6,0,2,0
110,3915,7.5,7482,6,34,169,115,bending,7,1,1,1
64,1744,4.5,11079,9,92,103,224,lifting,9,1,5,1
85,2615,6.5,17180,7,30,40,455,climbing,11,1,4,2
76,1605,4.0,19848,9,22,98,295,lifting,12,0,3,2
93,3311,9.0,6947,9,75,155,496,lifting,9,1,3,1
81,2815,7.5,6269,5,72,156,147,bending,9,0,3,0
65,2788,5.0,4798,6,85,30,336,kneeling,9,1,0,1
72,3623,5.7,17334,10,76,43,104,sitting,10,0,2,1
88,3485,4.2,8841,2,59,171,7,kneeling,9,0,1,0
113,1964,6.3,4849,10,39,157,477,bending,8,1,3,2
113,3476,9.4,8986,7,90,67,196,walking,10,0,0,0
77,3199,5.5,17637,4,20,102,371,sitting,12,1,1,1
88,3706,6.4,11893,8,89,126,233,sitting,12,0,5,1
75,3842,5.8,14460,0,60,151,361,climbing,9,0,3,1
62,2017,6.5,11878,1,76,55,269,climbing,6,0,3,1
115,2132,3.9,9684,5,99,131,332,lifting,12,1,5,2
114,3685,5.8,11376,10,82,168,18,kneeling,6,0,5,1
103,2677,9.5,3961,6,32,55,227,walking,11,1,0,1
62,2828,8.3,10613,5,67,140,74,walking,10,1,4,0
103,2237,4.5,3587,9,68,91,254,kneeling,7,0,3,1
100,2540,6.3,1307,7,56,169,80,lifting,9,1,4,1
79,3237,7.6,15969,4,45,128,436,climbing,6,0,3,1
96,2970,6.9,10674,0,70,100,4,kneeling,12,0,4,1
107,3534,8.5,10378,3,97,120,112,bending,7,1,5,1
108,2060,7.3,2291,4,76,38,296,sitting,11,0,0,1
118,2708,5.5,14615,2,45,63,402,kneeling,8,1,1,1
76,3473,9.3,10671,5,34,149,493,lifting,7,0,5,1
106,3127,9.3,19262,5,31,131,7,sitting,10,0,3,1
83,2573,7.0,13172,1,49,150,12,kneeling,10,1,4,1
74,1758,7.3,16213,4,72,59,71,lifting,6,1,3,1
67,1898,4.9,18614,2,69,146,189,bending,11,1,4,1
107,2132,8.8,4244,7,98,134,480,sitting,6,1,1,0
88,3321,9.2,12884,1,67,169,461,bending,8,0,3,0
77,2277,9.3,15900,1,47,35,25,sitting,7,0,4,1
73,1781,8.5,19160,3,95,85,416,walking,8,0,4,0
60,2635,8.7,5741,2,89,94,408,walking,6,0,1,0
60,2967,8.2,8796,9,61,34,89,sitting,6,0,5,1
86,3654,4.2,3082,7,77,122,262,kneeling,6,1,4,1
74,1677,7.9,18086,4,78,37,31,climbing,12,1,3,1
103,1942,6.4,15534,1,30,112,311,walking,6,0,2,0
99,3897,6.8,11655,6,96,165,150,climbing,10,1,0,1
110,1968,8.6,19066,3,75,145,454,walking,9,1,3,1
85,3203,7.9,11241,6,60,95,191,walking,11,1,0,0
65,1849,4.1,4164,5,36,172,30,kneeling,10,1,5,1
67,3182,5.6,14858,0,56,109,180,lifting,10,0,1,0
102,3475,4.8,4546,5,91,124,58,sitting,10,0,3,1
114,3797,9.3,19243,0,97,98,14,walking,8,1,2,0
82,1525,4.6,5694,9,71,47,72,bending,11,0,0,1
107,3672,4.8,14757,7,63,70,189,sitting,11,1,4,1
98,1847,8.8,6098,2,99,42,345,lifting,8,1,5,1
87,3489,7.1,14571,4,47,161,58,sitting,9,0,2,0
103,3929,6.4,11106,0,48,131,306,lifting,6,0,2,1
120,2365,8.1,9372,4,61,60,3,climbing,11,1,1,1
68,3057,6.7,8540,8,91,120,36,climbing,12,0,3,1
61,3383,9.0,11258,9,74,176,207,bending,11,1,2,1
67,3159,3.6,11642,2,99,147,425,bending,8,0,3,1
114,1933,5.0,14121,8,30,131,445,sitting,11,1,1,2
81,2188,4.0,4736,8,85,79,463,sitting,8,0,1,0
66,2099,5.0,6685,9,39,49,90,bending,9,1,4,2
108,3873,6.2,19497,10,99,112,442,bending,8,0,3,1
64,3420,6.2,10922,4,95,44,180,kneeling,6,1,3,1
88,1654,3.8,10406,1,31,159,196,climbing,10,0,3,1
118,3841,7.4,11535,9,80,158,77,lifting,9,0,2,1
105,1845,6.5,6654,0,51,142,224,kneeling,10,0,2,0
83,2658,5.8,12087,10,96,43,404,bending,11,1,0,2
81,1887,6.8,13666,4,52,68,170,lifting,10,0,2,0
79,3105,4.3,3776,4,91,126,329,sitting,12,0,5,1
104,3656,4.1,14874,8,66,34,185,sitting,7,0,2,1
120,3491,4.7,5507,2,29,105,432,lifting,10,0,5,1
81,2036,7.1,6054,2,43,72,369,climbing,6,1,2,1
103,2472,9.3,10336,7,49,166,122,sitting,12,1,1,1
83,3836,9.4,16128,4,68,158,270,climbing,7,0,4,0
68,2524,3.8,16747,5,90,56,364,kneeling,12,0,2,1
65,2156,5.1,17821,2,75,53,484,walking,12,1,2,1
119,1609,6.0,13991,8,67,90,197,lifting,8,0,0,1
80,1905,8.5,11986,2,37,39,146,climbing,11,0,5,1
90,3337,7.2,3596,0,52,85,427,walking,10,1,0,0
109,2680,4.9,4992,0,50,137,327,kneeling,9,0,0,0
113,3547,7.1,1538,10,85,177,123,bending,7,1,3,1
60,2945,4.9,14650,2,30,164,499,sitting,6,0,3,1
115,3425,3.8,13677,5,52,34,182,lifting,8,0,5,1
102,1924,8.1,11895,2,25,120,279,sitting,12,0,5,1
89,3460,7.3,5418,1,78,39,150,walking,6,0,0,0
80,2770,6.6,18794,7,52,39,385,bending,7,1,2,1
115,1695,8.7,11876,4,35,124,223,climbing,11,1,3,2
81,2265,6.5,17302,5,86,98,410,lifting,11,1,0,1
87,3967,9.5,6913,8,57,112,52,lifting,8,1,2,1
88,3968,7.8,6460,7,64,144,21,bending,12,1,4,1
87,2624,7.3,2879,1,71,123,262,bending,11,0,0,0
69,3988,7.6,15358,0,36,47,120,bending,8,1,3,1
120,3823,3.7,6027,10,77,124,190,climbing,12,0,4,2
68,3668,5.7,11301,10,55,93,491,lifting,6,0,3,1
93,3085,9.0,4858,4,53,144,109,kneeling,8,1,1,0
67,2055,8.6,15812,2,76,52,414,bending,12,1,5,1
82,1765,6.8,10514,4,40,74,406,sitting,10,0,0,0
72,2068,4.9,17188,0,66,171,293,sitting,9,0,4,0
116,1853,3.9,14046,7,87,135,393,climbing,12,0,1,1
80,1803,6.2,17952,5,36,171,327,kneeling,7,0,3,0
92,1726,8.5,17977,2,58,72,82,sitting,11,0,2,0
120,3625,8.9,3584,4,45,171,140,walking,11,1,4,1
94,1882,6.5,6525,9,94,69,87,bending,10,1,4,1
62,1616,4.0,19899,4,46,176,213,kneeling,11,0,3,1
116,3734,5.2,10899,7,51,133,152,climbing,6,0,1,1
88,3202,6.4,7685,5,97,66,160,bending,8,1,3,1
68,3017,6.6,4479,5,50,149,62,sitting,9,0,1,0
66,1707,5.2,13587,9,73,93,492,walking,12,1,4,1
106,2780,4.6,6221,7,85,149,255,sitting,9,0,0,0
120,3110,6.5,8888,3,94,120,24,lifting,8,1,4,1
116,3427,5.2,1267,1,75,64,451,sitting,11,1,3,1
83,1685,5.9,19686,8,44,122,283,sitting,6,1,4,1
88,3752,5.2,4893,2,32,130,191,sitting,10,1,1,1
72,3967,6.6,17386,0,25,39,70,bending,8,1,4,1
89,2110,7.1,17892,2,61,111,83,climbing,10,1,4,1
81,3577,8.5,18443,7,92,106,243,lifting,8,1,5,1
67,3206,7.0,1873,9,80,97,495,bending,12,0,5,1
63,3890,6.4,18178,10,99,127,75,bending,7,0,4,1
120,1950,4.6,15451,5,73,68,211,bending,7,1,4,1
109,3431,8.7,3040,2,86,83,287,sitting,11,1,4,1
84,2785,9.2,16062,8,63,169,181,bending,12,1,4,1
90,2287,9.2,10142,8,58,87,482,sitting,12,1,5,1
73,3502,5.4,12429,8,55,103,62,kneeling,11,1,3,1
112,2913,9.2,5799,4,25,103,489,bending,6,1,3,1
101,2550,8.0,8011,3,88,99,477,kneeling,11,1,1,1
66,3903,4.9,2663,10,87,87,326,walking,6,0,3,1
81,3434,4.1,5504,0,90,70,208,bending,9,1,5,1
72,2676,5.4,2938,1,93,89,273,bending,11,0,1,1
86,2220,9.1,2190,6,83,77,479,bending,12,1,0,1
60,2722,6.9,4516,5,56,146,328,kneeling,10,1,1,0
114,3565,6.3,7318,1,62,71,374,climbing,11,1,5,1
71,1557,7.9,10667,9,44,74,312,bending,9,1,4,1
80,1855,5.9,4125,2,37,152,165,walking,6,1,3,1
75,3329,8.0,11801,4,94,176,5,sitting,11,1,5,1
75,1754,7.5,16250,4,40,133,351,kneeling,11,1,5,1
67,2708,5.7,8236,3,37,152,78,climbing,11,1,3,2
104,3749,9.0,18613,10,47,93,348,kneeling,12,0,4,1
88,3663,7.7,3559,9,34,45,424,kneeling,10,0,4,1
94,2113,4.5,18050,7,34,82,367,kneeling,9,0,4,1
88,1727,6.2,17818,6,78,174,29,kneeling,9,1,5,0
61,3121,5.0,1098,3,94,48,23,climbing,8,0,4,1
63,1782,9.4,16468,0,56,134,92,walking,12,1,2,0
117,3066,6.2,13369,6,30,168,68,bending,12,1,0,1
71,3700,5.9,5172,3,20,35,500,sitting,9,1,4,1
84,2440,5.0,12342,2,55,78,479,bending,12,0,0,1
111,3217,7.2,1512,3,46,47,51,kneeling,6,1,4,1
103,1699,5.0,2449,6,76,89,276,walking,12,0,1,1
92,2684,4.9,19877,5,93,112,121,sitting,7,0,3,1
79,2627,3.9,6738,10,74,172,253,lifting,8,1,4,1
80,3205,5.9,10826,6,43,167,242,walking,12,0,2,1
114,2091,8.3,2888,8,72,136,285,kneeling,7,1,1,1
76,2332,5.5,3590,7,67,53,274,bending,12,0,0,1
77,3044,7.5,2295,1,44,180,370,bending,10,0,3,1
73,2863,5.3,1502,3,44,60,382,climbing,7,0,3,1
118,2480,6.8,10275,6,79,166,332,sitting,8,1,2,0
92,3536,6.3,16384,5,46,124,160,climbing,6,0,5,1
69,1566,5.1,19977,6,57,69,100,sitting,7,1,4,1
113,2506,6.5,12061,4,82,155,235,walking,11,1,1,1
68,3738,6.4,18764,10,27,164,17,lifting,12,0,0,1
86,2063,8.6,8583,1,39,32,111,kneeling,9,1,0,1
99,3479,7.5,1515,0,88,171,210,lifting,6,1,4,1
78,1570,6.5,15109,2,33,54,268,walking,7,0,4,1
93,2533,8.4,9759,6,30,125,491,climbing,9,0,5,1
74,2728,7.6,3641,10,24,53,207,climbing,9,1,0,1
100,1538,7.7,3709,7,75,114,289,lifting,10,0,1,0
73,3821,6.4,2525,1,55,169,288,bending,6,0,2,0
61,2348,7.0,14051,1,58,71,288,walking,10,1,5,0
117,3714,5.5,5585,1,84,118,27,lifting,9,0,0,1
81,3978,8.1,13999,5,23,99,401,climbing,9,0,2,0
95,3037,6.1,13454,1,99,105,408,walking,11,0,0,0
77,2131,5.8,6055,6,60,122,54,lifting,6,1,3,1
83,2604,4.1,3860,2,75,144,285,kneeling,10,1,0,0
61,1867,5.6,4049,9,96,113,442,climbing,6,1,3,1
84,1846,7.8,19334,3,93,163,86,bending,9,0,1,0
77,2733,5.1,5781,1,41,141,141,climbing,8,1,0,1
83,2530,9.2,17246,9,98,80,234,lifting,7,1,0,1
120,3120,5.5,13448,5,76,115,220,bending,10,0,2,1
80,3970,9.2,7581,7,60,75,493,climbing,8,1,5,1
104,3511,9.3,8943,5,68,101,418,climbing,8,0,4,1
72,3925,9.5,6895,10,90,36,487,bending,9,0,3,1
111,2693,8.5,3266,6,83,65,324,sitting,7,1,5,1
69,3233,8.2,3423,7,96,152,298,climbing,10,1,4,1
62,2972,7.7,18593,9,30,57,393,walking,11,1,1,1
101,1681,6.9,14094,5,75,57,5,lifting,8,0,4,1
107,3624,6.8,19849,3,77,125,200,climbing,12,0,2,1
61,3477,4.1,14630,1,34,66,178,sitting,8,1,1,1
93,3478,5.6,4198,7,77,111,34,sitting,6,0,0,0
114,2905,7.4,6385,3,86,74,282,walking,8,1,3,1
74,3159,7.3,7107,10,75,131,14,bending,10,0,3,1
97,3259,5.8,8038,3,55,46,295,lifting,12,0,2,1
80,2307,6.2,9596,10,82,165,494,bending,8,1,4,1
85,3904,4.2,12533,7,99,74,416,bending,11,1,4,1
97,1847,7.5,11262,1,50,108,59,walking,8,0,4,0
84,3213,7.1,19835,6,74,77,249,bending,10,0,4,0
70,3505,5.2,7130,5,77,43,443,sitting,6,1,1,1
72,3072,9.3,17562,10,83,134,350,climbing,9,1,3,1
70,1838,6.9,8226,4,24,100,115,kneeling,8,0,3,0
96,3528,6.8,4709,9,34,98,396,kneeling,12,1,4,2
112,1670,8.1,15462,8,47,138,52,bending,12,0,2,1
115,1632,6.2,12422,1,76,60,397,walking,7,1,5,1
99,3253,4.5,5562,3,46,45,291,sitting,10,1,4,2
94,2189,5.4,10589,4,93,98,487,kneeling,11,0,1,1
108,3185,9.0,10087,10,36,63,127,walking,11,1,1,1
108,3108,6.4,19921,10,54,136,192,climbing,6,0,3,1
92,2639,7.7,13093,7,82,113,297,lifting,12,0,5,1
89,2967,8.6,18512,6,47,139,422,walking,9,1,2,0
113,2661,5.5,19937,2,92,154,403,sitting,11,0,0,1
66,3382,3.6,6176,7,78,30,490,climbing,7,0,5,1
79,2151,8.7,9979,1,66,94,42,sitting,11,0,0,0
85,2751,7.9,8672,6,31,54,0,walking,9,0,1,0
97,2426,6.6,15583,0,21,117,418,lifting,12,1,5,2
68,3456,3.9,13552,1,33,56,160,sitting,8,0,3,1
109,2045,7.3,5681,1,87,174,4,kneeling,11,0,3,1
82,2372,7.3,5960,6,98,143,440,walking,6,0,1,0
108,2004,7.0,13583,5,74,110,405,walking,7,1,5,1
65,2516,6.8,10336,0,58,82,265,kneeling,10,0,5,0
85,2710,7.4,8842,7,69,58,123,climbing,11,0,4,1
116,1549,9.4,11370,2,69,175,215,sitting,10,0,3,0
109,1798,3.6,3212,0,53,85,20,lifting,12,1,4,2
78,3552,8.1,14879,6,30,167,275,kneeling,7,1,0,0
79,1823,6.6,7658,2,88,113,200,kneeling,11,0,2,0
104,3291,7.9,8819,0,51,52,473,climbing,6,1,4,1
98,1725,5.4,6755,1,21,65,359,lifting,7,1,2,1
93,3618,8.2,9495,2,67,62,383,sitting,11,0,0,0
81,3258,5.1,3092,4,93,49,254,climbing,10,1,0,1
91,3821,4.5,6154,4,33,176,345,bending,6,0,5,1
92,1510,3.8,1402,3,25,150,186,climbing,7,0,0,1
95,3217,4.8,9135,6,60,99,422,lifting,10,1,0,1
92,1715,4.6,17900,0,71,47,449,climbing,12,1,2,2
80,1853,6.8,1261,5,45,104,288,sitting,11,0,3,1
83,3923,9.3,7403,8,51,68,3,climbing,6,0,4,1
82,1539,9.2,1047,10,68,108,53,walking,10,0,3,0
91,1745,9.3,5665,4,31,41,471,walking,12,1,5,2
117,3025,6.3,3782,9,32,159,68,bending,12,1,0,2
97,3825,3.9,5283,3,57,96,435,sitting,12,1,5,1
113,2836,5.4,9911,3,29,81,69,kneeling,6,0,0,1
70,3341,6.3,14320,1,88,121,493,walking,9,1,3,0
76,1991,4.0,10968,9,25,85,427,sitting,7,0,5,1
75,2957,5.9,2604,10,58,96,419,walking,6,1,3,1
95,3753,5.0,16140,1,37,61,6,lifting,12,0,1,1
72,3140,5.7,3753,9,95,96,469,lifting,6,0,1,1
117,3316,8.4,4013,5,35,40,482,climbing,6,0,4,1
87,3117,6.5,13541,10,74,74,181,walking,7,1,2,0
88,2108,3.7,9053,10,57,157,210,kneeling,9,0,0,0
77,3068,4.3,7535,10,87,93,322,kneeling,12,0,3,1
110,2970,6.4,16881,5,92,158,164,climbing,8,0,0,0
80,3945,4.8,10205,0,80,165,183,kneeling,7,0,0,0
75,2487,5.1,2832,3,93,129,181,walking,7,0,4,0
80,2969,9.0,1924,5,92,174,72,kneeling,7,1,4,0
79,2219,6.4,3957,0,49,86,10,kneeling,9,0,2,0
118,2325,8.3,12165,2,61,45,11,walking,10,0,0,0
114,3655,8.7,3376,5,70,180,51,sitting,8,1,1,0
70,3289,8.3,16964,10,60,74,362,kneeling,11,1,1,1
102,3912,8.4,13398,4,57,62,90,bending,6,1,4,1
62,2245,7.1,8238,10,92,56,479,climbing,7,1,5,1
64,2474,5.6,11469,2,31,115,228,lifting,8,0,1,1
104,1777,5.6,4540,0,26,128,224,bending,9,0,3,1
91,3051,5.6,13299,1,81,177,333,bending,7,0,3,1
64,1636,5.3,11443,4,33,48,175,walking,9,0,5,1
64,3740,9.2,4050,5,96,153,360,lifting,9,0,4,0
116,3278,4.4,4318,5,46,78,209,bending,10,1,5,2
78,2718,4.9,2626,6,93,170,430,climbing,7,0,2,0
60,3251,4.0,16739,3,32,36,105,walking,11,1,0,1
90,1973,5.4,14024,7,82,97,46,bending,10,1,1,1
83,3062,5.7,15607,0,53,142,238,sitting,7,1,4,1
63,2119,8.0,4168,1,64,168,211,kneeling,7,0,3,0
112,3640,6.0,18547,10,80,176,451,walking,9,1,0,1
85,1642,6.5,17935,9,99,67,61,climbing,7,0,1,0
111,2289,4.3,14873,1,75,81,421,bending,7,1,2,1
118,1774,4.0,19230,6,90,113,438,sitting,10,1,0,1
110,3906,6.6,14749,1,73,68,75,kneeling,10,0,0,0
96,1913,8.2,18551,5,72,97,196,bending,9,1,0,1
71,2628,5.9,14163,0,70,114,353,walking,6,1,2,0
117,3025,3.6,10930,4,55,155,439,bending,11,0,1,1
68,2730,9.3,15519,5,54,136,309,bending,6,0,3,0
73,3167,7.9,17924,5,27,161,405,walking,6,1,5,1
92,3152,4.3,18179,9,23,74,98,walking,12,0,1,1
62,3369,3.8,12808,3,55,124,421,climbing,10,1,5,1
119,2007,7.6,8927,5,82,144,90,climbing,10,1,2,1
70,2559,8.0,3961,4,23,128,25,walking,12,0,1,0
101,2422,7.6,9817,10,72,161,10,bending,6,1,1,1
101,2209,7.1,1277,3,52,108,364,bending,11,1,3,1
117,3042,8.6,16040,4,47,149,154,bending,10,1,4,1
66,1530,6.6,13262,8,96,102,152,bending,6,1,0,1
81,2632,7.3,10072,4,58,78,76,kneeling,12,0,0,0
111,3957,5.9,11472,10,37,36,335,climbing,8,1,3,2
85,3090,7.9,19744,3,63,86,351,kneeling,11,1,5,1
82,3577,5.3,6570,10,91,76,150,lifting,9,0,5,1
76,3789,8.1,6998,10,62,52,113,sitting,7,1,3,1
110,2857,5.7,10635,7,35,150,27,bending,10,0,3,1
116,2296,6.5,13506,8,58,135,27,walking,7,0,2,0
86,3832,8.9,15993,2,60,76,398,lifting,9,1,5,1
71,2783,7.3,1154,7,55,83,389,walking,10,0,3,0
110,1860,4.3,15211,10,74,133,219,climbing,9,0,0,1
94,2316,7.9,1461,5,87,78,9,bending,6,0,1,0
104,2910,5.4,4365,6,84,180,156,walking,6,0,2,0
120,2691,6.2,18048,9,87,116,222,bending,7,1,3,1
82,2271,4.5,14218,0,49,87,372,walking,7,0,4,1
92,2192,4.2,2224,6,52,166,319,lifting,10,0,5,1
66,1580,3.8,4794,6,76,127,63,kneeling,8,1,5,1
69,2341,7.7,1304,4,73,55,339,kneeling,8,0,3,0
113,1929,6.6,4857,4,34,57,254,walking,10,0,2,1
113,3642,9.3,12728,6,57,71,20,kneeling,9,0,5,0
119,3468,5.5,1089,0,31,58,427,kneeling,11,1,1,2
120,1868,8.2,3459,1,52,89,233,sitting,8,1,0,0
66,2215,8.7,10521,5,60,139,378,lifting,6,0,0,0
114,2066,7.5,6587,5,65,142,489,kneeling,8,0,2,0
112,2903,4.6,14132,6,78,99,427,climbing,11,1,3,2
101,2183,4.2,2921,2,33,136,466,kneeling,9,1,1,1
99,3055,8.2,1944,10,36,153,471,climbing,6,1,3,2
62,1759,5.1,11296,0,87,177,370,kneeling,7,1,4,1
93,1890,6.1,9145,7,64,128,76,kneeling,10,0,0,0
101,2142,6.5,16377,7,41,49,384,climbing,8,0,2,1
77,1706,6.5,19038,10,68,133,418,walking,6,1,3,1
111,3847,6.2,17333,7,60,60,254,bending,11,0,0,1
85,3188,3.7,18992,0,31,107,455,kneeling,10,0,5,1
102,3368,9.2,12906,0,48,146,169,kneeling,12,1,5,1
102,2988,7.8,4736,1,48,30,174,sitting,12,1,4,2
93,3031,7.7,2500,2,83,65,420,bending,11,1,0,1
76,2302,4.6,13874,3,78,78,366,sitting,6,1,0,0
119,3911,4.2,15762,7,95,159,68,climbing,6,0,4,1
119,3272,8.5,16824,8,42,178,88,bending,12,0,0,1
84,3959,7.1,11546,8,69,137,311,bending,12,0,2,1
85,2904,9.3,15838,2,37,135,308,bending,11,1,5,1
95,2785,7.8,19139,10,47,81,107,kneeling,11,1,5,2
82,2043,9.4,6826,8,89,112,363,lifting,12,1,4,1
90,3887,6.9,14679,10,88,103,449,climbing,12,0,4,1
66,1603,5.8,2738,10,27,81,136,walking,8,1,1,1
113,1754,7.6,10671,3,89,38,183,climbing,6,0,5,1
101,3798,5.8,17741,4,26,127,198,climbing,12,1,4,2
63,1553,8.0,7654,9,76,87,466,bending,11,1,4,1
94,3971,4.7,7340,4,77,75,349,lifting,7,0,5,1
92,1988,5.8,15041,4,91,97,66,walking,10,1,0,1
81,3410,7.8,6072,0,39,112,305,lifting,12,1,3,1
110,3845,6.8,3388,5,87,86,489,walking,10,0,4,0
70,3203,6.8,14219,1,64,86,452,walking,11,1,2,0
83,2702,4.8,18383,7,91,32,58,bending,8,1,1,1
117,2498,9.3,11516,6,34,128,131,kneeling,11,1,0,1
118,3617,8.4,13286,8,85,144,249,lifting,8,0,2,1
92,1837,9.2,6485,8,88,31,320,lifting,7,0,5,1
87,1925,4.7,15261,10,29,69,12,climbing,11,1,0,2
65,1800,3.8,9254,8,29,177,420,walking,8,1,3,1
88,3156,6.1,1553,6,35,166,3,bending,11,0,5,1
97,1686,7.7,3378,5,84,57,148,bending,8,0,2,1
108,3292,5.8,2009,7,40,166,112,walking,11,1,4,2
78,2090,5.3,13226,0,90,172,72,lifting,6,0,4,1
98,3114,6.7,3789,4,46,118,108,climbing,11,0,1,1
71,2404,7.2,9281,3,34,76,343,kneeling,12,0,4,1
89,3751,3.9,3207,4,32,80,371,kneeling,9,1,2,1
68,2460,4.1,3287,3,60,154,230,sitting,10,1,5,1
97,2124,6.9,12943,5,74,73,2,sitting,7,0,5,0
107,3286,5.2,12779,2,62,152,236,climbing,8,1,3,1
95,1945,4.6,3686,4,37,167,100,sitting,11,0,5,1
64,1576,8.6,2022,9,94,133,393,kneeling,7,0,4,0
76,3726,8.9,18684,7,39,123,200,walking,12,1,1,1
89,3552,6.6,14001,5,84,32,339,walking,12,0,4,1
68,3327,4.5,19558,9,38,153,480,sitting,6,0,3,1
74,1757,5.1,8668,0,46,162,464,sitting,9,1,3,1
116,1690,3.7,11619,1,86,100,427,bending,8,0,3,1
